21:56:52 WARN  riot                 :: Lexical form '2012-11-11T16:37:43-0800' not valid for datatype http://www.w3.org/2001/XMLSchema#dateTime
author,title,pages,year,link_open_access,link_publisher,proceedings_uri,paper_uri,label_proceedings,abstract,category,keywords,cnt_keyword,topics,cnt_topic,list_author,cnt_author,list_url,cnt_url
"Josh Hanna, Chen Cheng, Alex Crow, Roger Hall, Jie Liu, Tejaswini Pendurthi, Trent Schmidt, Steven Jennings, Mathias Brochhausen and William Hogan",Simplifying MIREOT; a MIREOT Protege Plugin,,,,,http://data.semanticweb.org/conference/iswc/2012/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/poster-demo-48,Proceedings of the ISWC 2012 Posters & Demonstrations Track,"The Web Ontology Language (OWL) is a commonly used standard for creating ontology artifacts. However, its capabilities for reusing existing OWL artifacts in the creation of new artifacts is limited to the import of whole ontologies, even when only a small handful of classes, object properties, and so on (which we refer to generically as OWL components) are relevant. This situation can result in extremely large and unwieldy, or even broken, ontologies.  To address this problem while still promoting ontology reuse, the OBI Consortium has elucidated the Minimum Information to Reference an External Ontology Term (MIREOT). We provide a suite of plugins to the Protege editor that greatly simplifies the use of MIREOT principles during ontology creation and editing. ",,,0,,0,Alex Crow;Mathias Brochhausen;Chen Cheng;Steven Jennings;Tejaswini Pendurthi;Roger Hall;Josh Hanna;Trent Schmidt;Jie Liu;William Hogan,10,,0
"Josep Maria Brunetti Fernández, Sören Auer and Roberto Garcia",The Linked Data Visualization Model,,,,,http://data.semanticweb.org/conference/iswc/2012/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/poster-demo-29,Proceedings of the ISWC 2012 Posters & Demonstrations Track,"The potential of the semantic data available in the Web is enormous but in most cases it is very difficult for users to explore and use this data. Applying information visualization techniques to the Semantic Web helps users to easily explore large amounts of data and interact with them. We devise a formal Linked Data Visualization model (LDVM), which allows to dynamically connect data with visualizations. ",,,0,,0,Josep Maria Brunetti Fernández;Sören Auer;Roberto Garcia,3,,0
Serena Villata and Fabien Gandon,Towards Licenses Compatibility and Composition in the Web of Data,,,,,http://data.semanticweb.org/conference/iswc/2012/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/poster-demo-23,Proceedings of the ISWC 2012 Posters & Demonstrations Track,"We propose a general framework to attach the licensing terms to the data where the compatibility of the licensing terms concerning the data affected by a query is verified, and, if compatible, the licenses are combined into a composite license. The framework returns the composite license as licensing term about the data resulting from the query. ",,,0,,0,Fabien Gandon;Serena Villata,2,,0
Patrick Siehndel and Ricardo Kawase,TwikiMe! - User profiles that make sense.,,,,,http://data.semanticweb.org/conference/iswc/2012/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/poster-demo-11,Proceedings of the ISWC 2012 Posters & Demonstrations Track,"The use of social media has been rapidly increasing in the last years. Social media such as Twitter has become an important source of information for a variety of people. The public availability of data describing some of these social networks has led to a lot of research in this area. Link prediction, user classification and community detection are some of the main research areas related to social networks. In this paper we present a user modeling framework that uses Wikipedia as a frame to model user interests inside a social network. Our fine grained model of user interests reflects the areas a user is interested in as well as the level of expertise a user has in a certain field. ",,,0,,0,Patrick Siehndel;Ricardo Kawase,2,,0
"Peter Edwards, Edoardo Pignotti, Alan Eckhardt, Kapila Ponnamperuma, Chris Mellish and Thomas Bouttaz",ourSpaces - A Semantic Virtual Research Environment,,,,,http://data.semanticweb.org/conference/iswc/2012/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/poster-demo-61,Proceedings of the ISWC 2012 Posters & Demonstrations Track,"In this demo we present ourSpaces, a semantic Virtual Research Environment designed to support inter-disciplinary research teams. The system utilizes technologies such as OWL, RDF and a rule-based reasoner to support the management of provenance information, social networks, online communication and policy enforcement within the VRE. ",,,0,,0,Peter Edwards;Alan Eckhardt;Kapila Ponnamperuma;Edoardo Pignotti;Chris Mellish;Thomas Bouttaz,6,,0
"Chris Welty, J William Murdock, Aditya Kalyanpur and James Fan",A Comparison of Hard Filters and Soft Evidence for Answer Typing in Watson,,,,,http://data.semanticweb.org/conference/iswc/2012/proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/inuse-32,Proceedings of ISWC 2012,"Questions often explicitly request a particular type of answer. One popular approach to answering natural language questions involves filtering candidate answers based on precompiled lists of instances of common answer types (e.g., countries, animals, foods, etc.). Such a strategy is poorly suited to an open domain in which there is an extremely broad range of types of answers, and the most frequently occurring types cover only a small fraction of all answers. In this paper we present an alternative approach called TyCor, that employs soft filtering of candidates using multiple strategies and sources. We find that TyCor significantly outperforms a single-source, single-strategy hard filtering approach, demonstrating both that multi-source multi-strategy outperforms a single source, single strategy, and that its fault tolerance yields significantly better performance than a hard filter.",,,0,,0,James Fan;J William Murdock;Chris Welty;Aditya Kalyanpur,4,,0
"Manuel Atencia, Alexander Borgida, Jérôme Euzenat, Chiara Ghidini and Luciano Serafini",A Formal Semantics for Weighted Ontology Mappings,,,,,http://data.semanticweb.org/conference/iswc/2012/proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/research-29,Proceedings of ISWC 2012,"Ontology mappings are often assigned a weight or confidence factor by matchers. Nonetheless, few semantic accounts have been given so far for such weights. This paper presents a formal semantics for weighted mappings between different ontologies. It is based on a classificational interpretation of mappings: if O1 and O2 are two ontologies used to classify a common set X , then mappings between O1 and O2 are interpreted to encode how elements of X classified in the concepts of O1 are re-classified in the concepts of O2, and weights are interpreted to measure how precise and complete re-classifications are. This semantics is justifiable by extensional practice of ontology matching. It is a conservative extension of a semantics of crisp mappings. The paper also includes properties that relate mapping entailment with description logic constructors.",,,0,,0,Manuel Atencia;Luciano Serafini;Jérôme Euzenat;Chiara Ghidini;Alexander Borgida,5,,0
"Shu Rong, Xing Niu, Evan Wei Xiang, Haofen Wang, Qiang Yang and Yong Yu",A Machine Learning Approach for Instance Matching Based on Similarity Metrics,,,,,http://data.semanticweb.org/conference/iswc/2012/proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/research-22,Proceedings of ISWC 2012,"The Linking Open Data (LOD) project is an ongoing effort to construct a global data space, i.e. the Web of Data. One important part of this project is to establish owl:sameAs links among structured data sources. Such links indicate equivalent instances that refer to the same real-world object. The problem of discovering owl:sameAs links between pairwise data sources is called instance matching. Most of the existing approaches addressing this problem rely on the quality of prior schema matching, which is not always good enough in the LOD scenario. In this paper, we propose a schema-independent instance-pair similarity metric based on several general descriptive features. We transform the instance matching problem to the binary classification problem and solve it by machine learning algorithms. Furthermore, we employ some transfer learning methods to utilize the existing owl:sameAs links in LOD to reduce the demand for labeled data. We carry out experiments on some datasets of OAEI2010. The results show that our method performs well on real-world LOD data and outperforms the participants of OAEI2010.",,,0,,0,Evan Wei Xiang;Haofen Wang;Qiang Yang;Shu Rong;Xing Niu;Yong Yu,6,,0
Bojan Bozic,A Multi-Domain Framework for Community Building Based on Data Tagging,,,,,http://data.semanticweb.org/conference/iswc/2012/proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/doctor-consortium-10,Proceedings of ISWC 2012,"In this paper, we present a doctoral thesis which introduces a new approach of time series enrichment with semantics. The paper shows the problem of assigning time series data to the right party of interest and why this problem could not be solved so far. We demonstrate a new way of processing semantic time series and the consequential ability of addressing users. The combination of time series processing and Semantic Web technologies leads us to a new powerful method of data processing and data generation, which offers completely new opportunities to the expert user.",,,0,,0,Bojan Bozic,1,,0
"Amel Bennaceur, Valerie Issarny, Romina Spalazzese and Shashank Tyagi",Achieving Interoperability through Semantics-based Technologies: The Instant Messaging Case,,,,,http://data.semanticweb.org/conference/iswc/2012/proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/inuse-35,Proceedings of ISWC 2012,"The success of pervasive computing depends on the ability to compose a multitude of networked applications dynamically in order to achieve user goals. However, applications from different providers are not able to interoperate due to incompatible interaction protocols or disparate data models. Instant messaging is a representative example of the current situation, where various competing applications keep emerging. To enforce interoperability at runtime and in a non-intrusive manner, mediators are used to perform the necessary translations and coordination between the heterogeneous applications. Nevertheless, the design of mediators requires considerable knowledge about each application as well as a substantial development effort. In this paper we present an approach based on ontology reasoning and model checking in order to generate correct-by-construction mediators automatically. We demonstrate the feasibility of our approach through a prototype tool and show that it synthesises mediators that achieve efficient interoperation of instant messaging applications.",,,0,,0,Shashank Tyagi;Valerie Issarny;Amel Bennaceur;Romina Spalazzese,4,,0
"Cory Henson, Krishnaprasad Thirunarayan and Amit Sheth",An Efficient Bit Vector Approach to Semantics-based Machine Perception in Resource-Constrained Devices,,,,,http://data.semanticweb.org/conference/iswc/2012/proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/research-26,Proceedings of ISWC 2012,"The primary challenge of machine perception is to define efficient computational methods to derive high-level knowledge from low-level sensor observation data. Emerging solutions are using ontologies for expressive representation of concepts in the domain of sensing and perception, which enable advanced integration and interpretation of heterogeneous sensor data. The computational complexity of OWL, however, seriously limits its applicability and use within resource-constrained environments, such as mobile devices. To overcome this issue, we employ OWL to formally define the inference tasks needed for machine perception - explanation and discrimination - and then provide efficient algorithms for these tasks, using bit-vector encodings and operations. The applicability of our approach to machine perception is evaluated on a smart-phone mobile device, demonstrating dramatic improvements in both efficiency and scale.",,,0,,0,Cory Henson;Amit Sheth;Krishnaprasad Thirunarayan,3,,0
"Naimdjon Takhirov, Fabien Duchateau and Trond Aalberg",An Evidence-based Verification Approach to Extract Entities and Relations for Knowledge Base Population,,,,,http://data.semanticweb.org/conference/iswc/2012/proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/research-37,Proceedings of ISWC 2012,This paper presents an approach to automatically extract entities and relationships from textual documents. The main goal is to populate a knowledge base that hosts this structured information about domain entities. The extracted entities and their expected relationships are verified using two evidence based techniques: classification and linking. This last process also enables the linking of our knowledge base to other sources which are part of the Linked Open Data cloud. We demonstrate the benefit of our approach through series of experiments with real-world datasets.,,,0,,0,Fabien Duchateau;Trond Aalberg;Naimdjon Takhirov,3,,0
"Freddy Lecue, Anika Schumann and Marco Luca Sbodio",Applying Semantic Web Technologies for Diagnosing Road Traffic Congestions,,,,,http://data.semanticweb.org/conference/iswc/2012/proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/inuse-58,Proceedings of ISWC 2012,"Diagnosis, or the method to connect causes to its effects, is an important reasoning task for obtaining insight on cities and reaching the concept of sustainable and smarter cities that is envisioned nowadays. This paper, focusing on transportation and its road traffic, presents how road traffic congestions can be detected and diagnosed in quasi real-time. We adapt pure Artificial Intelligence diagnosis techniques to fully exploit knowledge which is captured through relevant semantics-augmented stream and static data from various domains. Our prototype of semantic-aware diagnosis of road traffic congestions, experimented in Dublin Ireland, works efficiently with large, heterogeneous information sources and delivers value-added services to citizens and city managers in quasi real-time.",,,0,,0,Freddy Lecue;Anika Schumann;Marco Luca Sbodio,3,,0
"Aldo Gangemi, Andrea Giovanni Nuzzolese, Valentina Presutti, Francesco Draicchio, Alberto Musetti and Paolo Ciancarini",Automatic typing of DBpedia entities,,,,,http://data.semanticweb.org/conference/iswc/2012/proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/research-13,Proceedings of ISWC 2012,"We present Tipalo, an algorithm and tool for automatically typing DBpedia entities. Tipalo identifies the most appropriate types for an entity by interpreting its natural language definition, which is extracted from its corresponding Wikipedia page abstract. Types are identified by means of a set of heuristics based on graph patterns, disambiguated to WordNet, and aligned to two top-level ontologies: WordNet supersenses and a subset of DOLCE+DnS Ultra Lite classes. The algorithm has been tuned against a golden standard that has been built online by a group of selected users, and further evaluated in a user study.",,,0,,0,Valentina Presutti;Andrea Giovanni Nuzzolese;Francesco Draicchio;Aldo Gangemi;Alberto Musetti;Paolo Ciancarini,6,,0
"Gabriela Montoya, Maria-Esther Vidal, Oscar Corcho, Edna Ruckhaus and Carlos Buil-Aranda",Benchmarking Federated SPARQL Query Engines: Are Existing Testbeds Enough?,,,,,http://data.semanticweb.org/conference/iswc/2012/proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/evaluation-27,Proceedings of ISWC 2012,"Testbeds proposed so far to evaluate, compare, and eventually improve SPARQL query federation systems have still some limitations. Some variables and configurations that may have an impact on the behavior of these systems (e.g., network latency, data partitioning and query properties) are not sufficiently defined; this affects the results and repeatability of independent evaluation studies, and hence the insights that can be obtained from them. In this paper we evaluate FedBench, the most comprehensive testbed up to now, and empirically probe the need of considering additional dimensions and variables. The evaluation has been conducted on three SPARQL query federation systems, and the analysis of these results has allowed to uncover properties of these systems that would normally be hidden with the original testbeds.",,,0,,0,Carlos Buil-Aranda;Gabriela Montoya;Maria-Esther Vidal;Oscar Corcho;Edna Ruckhaus,5,,0
"Yannis Tzitzikas, Christina Lantzaki and Dimitris Zeginis",Blank Node Matching and RDF/S Comparison Functions,,,,,http://data.semanticweb.org/conference/iswc/2012/proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/research-24,Proceedings of ISWC 2012,"In RDF, a blank node (or anonymous resource or bnode) is a node in an RDF graph which is not identified by a URI and is not a literal. Several RDF/S Knowledge Bases (KBs) rely heavily on blank nodes as they are convenient for representing complex attributes or resources whose identity is unknown but their attributes (either literals or associations with other resources) are known. In this paper we show how we can exploit blank nodes anonymity in order to reduce the delta (diff) size when comparing such KBs. The main idea of the proposed method is to build a mapping between the bnodes of the compared KBs for reducing the delta size. We prove that finding the optimal mapping is NP-Hard in the general case, and polynomial in case there are not directly connected bnodes. Subsequently we present various polynomial algorithms returning approximate solutions for the general case. For making the application of our method feasible also to large KBs we present a signature-based mapping algorithm with n logn complexity. Finally, we report experimental results over real and synthetic datasets that demonstrate significant reductions in the sizes of the computed deltas. For the proposed algorithms we also provide comparative results regarding delta reduction, equivalence detection and time efficiency.",,,0,,0,Dimitris Zeginis;Yannis Tzitzikas;Christina Lantzaki,3,,0
Valentina Maccatrozzo,Burst the Filter Bubble: Using Semantic Web to Enable Serendipity,,,,,http://data.semanticweb.org/conference/iswc/2012/proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/doctor-consortium-03,Proceedings of ISWC 2012,"Personalization techniques aim at helping people dealing with the ever growing amount of information by filtering it according to their interests. However, to avoid the information overload, such techniques often create an over-personalization effect, i.e. users are exposed only to the content systems assume they would like. To break this ""personalization bubble"" we introduce the notion of serendipity as a performance measure for recommendation algorithms. For this, we first identify aspects from the user perspective, which can determine level and type of serendipity desired by users. Then, we propose a user model that can facilitate such user requirements, and enables serendipitous recommendations. The use case for this work focuses on TV recommender systems, however the ultimate goal is to explore the transferability of this method to different domains. This paper covers the work done in the first eight months of research and describes the plan for the entire PhD trajectory.",,,0,,0,Valentina Maccatrozzo,1,,0
"Makoto Nakatsuji, Yasuhiro Fujiwara, Toshio Uchiyama and Hiroyuki Toda",Collaborative Filtering by Analyzing Dynamic User Interests Modeled by Taxonomy,,,,,http://data.semanticweb.org/conference/iswc/2012/proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/research-09,Proceedings of ISWC 2012,"Tracking user interests over time is important for making accurate recommendations. However, the widely-used time-decay-based approach worsens the sparsity problem because it deemphasizes old item transactions. We introduce two ideas to solve the sparsity problem. First, we divide the users' transactions into epochs i.e. time periods, and identify epochs that are dominated by interests similar to the current interests of the active user. Thus, it can eliminate dissimilar transactions while making use of similar transactions that exist in prior epochs. Second, we use a taxonomy of items to model user item transactions in each epoch. This well captures the interests of users in each epoch even if there are few transactions. It suits the situations in which the items transacted by users dynamically change over time; the semantics behind classes do not change so often while individual items often appear and disappear. Fortunately, many taxonomies are now available on the web because of the spread of the Linked Open Data vision. We can now use those to understand dynamic user interests semantically. We evaluate our method using a dataset, a music listening history, extracted from users' tweets and one containing a restaurant visit history gathered from a gourmet guide site. The results show that our method predicts user interests much more accurately than the previous time-decay-based method.",,,0,,0,Hiroyuki Toda;Makoto Nakatsuji;Yasuhiro Fujiwara;Toshio Uchiyama,4,,0
Steffen Stadtmüller,Composition of Linked Data-based RESTful Services,,,,,http://data.semanticweb.org/conference/iswc/2012/proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/doctor-consortium-15,Proceedings of ISWC 2012,"We address the problem of developing a scalable composition framework for Linked Data-based services, which retains the advantages of the loose coupling fostered by REST.",,,0,,0,Steffen Stadtmüller,1,,0
"Rafael S. Gonçalves, Bijan Parsia and Ulrike Sattler",Concept-Based Semantic Difference in Expressive Description Logics,,,,,http://data.semanticweb.org/conference/iswc/2012/proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/research-06,Proceedings of ISWC 2012,"Detecting, much less understanding, the difference between two description logic based ontologies is challenging for ontology engineers due, in part, to the possibility of complex, non-local logic effects of axiom changes. First, it is often quite difficult to even determine which concepts have had their meaning altered by a change. Second, once a concept change is pinpointed, the problem of distinguishing whether the concept is directly or indirectly affected by a change has yet to be tackled. To address the first issue, various principled notions of ``semantic diff'' (based on deductive inseparability) have been proposed in the literature and shown to be computationally practical for the expressively restricted case of ELHr-terminologies. However, problems arise even for such limited logics as ALC: First, computation gets more difficult, becoming undecidable for logics such as SROIQ which underly the Web Ontology Language (OWL). Second, the presence of negation and disjunction make the standard semantic difference too sensitive to change: essentially, any logically effectual change always affects all terms in the ontology. In order to tackle these issues, we formulate the central notion of finding the minimal change set based on model inseparability, and present a method to differentiate changes which are specific to (thus directly affect) particular concept names. Subsequently we devise a series of computable approximations, and compare the variously approximated change sets over a series of versions of the NCI Thesaurus (NCIt).",,,0,,0,Bijan Parsia;Ulrike Sattler;Rafael S. Gonçalves,3,,0
Ilianna Kollia and Birte Glimm,Cost based Query Ordering over OWL Ontologies,,,,,http://data.semanticweb.org/conference/iswc/2012/proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/research-11,Proceedings of ISWC 2012,"The paper presents an approach for cost-based query planning for SPARQL queries issued over an OWL ontology using the OWL Direct Semantics entailment regime of SPARQL 1.1. The costs are based on information about the instances of classes and properties that are extracted from a model abstraction built by an OWL reasoner. A static and a dynamic algorithm are presented which use these costs to find optimal or near optimal execution orders for the atoms of a query. For the dynamic case, we improve the performance by exploiting an individual clustering approach that allows for computing the cost functions based on one individual sample from a cluster. Our experimental study shows that the static ordering usually outperforms the dynamic one when accurate statistics are available. This changes, however, when the statistics are less accurate, e.g., due to non-deterministic reasoning decisions.",,,0,,0,Birte Glimm;Ilianna Kollia,2,,0
Nitish Aggarwal,Cross Lingual Semantic Search by Improving Semantic Similarity and Relatedness Measures,,,,,http://data.semanticweb.org/conference/iswc/2012/proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/doctor-consortium-01,Proceedings of ISWC 2012,"Since 2001, the semantic web community has been working hard towards creating standards which will increase the accessibility of available information on the web. Yahoo research recently reported that 30% of all HTML pages contain structured data such as microdata, RDFa, or microformat. Although multilinguality of the web is a hurdle in information access, the rapid growth of the semantic web enables us to retrieve fine grained information across the language barrier. In this thesis, firstly, we focus on developing a methodology to perform cross-lingual semantic search over structured data (knowledge base), by transforming natural language queries into SPARQL. Secondly, we focus on improving the semantic similarity and relatedness measures, to overcome the semantic gap between the vocabulary in the knowledge base and the terms appearing in the query. The preliminary results are evaluated against the QALD-2 test dataset, which achieved a F1 score of 0.46, an average precision of 0.44, and an average recall of 0.48.",,,0,,0,Nitish Aggarwal,1,,0
"Cristina Sarasua, Elena Simperl and Natasha F. Noy",CrowdMAP: Crowdsourcing Ontology Alignment with Microtasks,,,,,http://data.semanticweb.org/conference/iswc/2012/proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/research-41,Proceedings of ISWC 2012,"The last decade of research in ontology alignment has brought a variety of computational techniques to discover correspondences between ontologies. While the accuracy of automatic approaches has continuously improved, human contributions remain a key ingredient of the process: this input serves as a valuable source of domain knowledge that is used to train the algorithms and to validate and augment automatically computed alignments. In this paper, we introduce CROWDMAP, a model to acquire such human contributions via microtask crowdsourcing. For a given pair of ontologies, CROWDMAP translates the alignment problem into microtasks that address individual alignment questions, publishes the microtasks on an online labor market, and evaluates the quality of the results obtained from the crowd. We evaluated the current implementation of CROWDMAP in a series of experiments using ontologies and reference alignments from the Ontology Alignment Evaluation Initiative and the crowdsourcing platform CrowdFlower. The experiments clearly demonstrated that the overall approach is feasible, and can improve the accuracy of existing ontology alignment solutions in a fast, scalable, and cost-effective manner.",,,0,,0,Elena Simperl;Cristina Sarasua;Natasha F. Noy,3,,0
"Jens Lehmann, Tim Furche, Giovanni Grasso, Axel-Cyrille Ngonga Ngomo, Christian Schallhart, Andrew Sellers, Christina Unger, Lorenz Bühmann, Daniel Gerber, Konrad Höffner, David Liu and Sören Auer",DEQA: Deep Web Extraction for Question Answering,,,,,http://data.semanticweb.org/conference/iswc/2012/proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/inuse-71,Proceedings of ISWC 2012,"Despite decades of effort, intelligent object search remains elusive. Neither search engine nor semantic web technologies alone have managed to provide usable systems for simple questions such as ""Find me a flat with a garden and more than two bedrooms near a supermarket."" We introduce DEQA, a conceptual framework that achieves this elusive goal through combining state-of-the-art semantic technologies with effective data extraction. To that end, we apply DEQA to the UK real estate domain and show that it can answer a significant percentage of such questions correctly. DEQA achieves this by mapping natural language questions to SPARQL patterns. These patterns are then evaluated on an RDF database of current real estate offers. The offers are obtained using OXPATH, a state-of-the-art data extraction system, on the major agencies in the Oxford area and linked through LIMES to background knowledge such as the location of supermarkets.",,,0,,0,Lorenz Bühmann;Andrew Sellers;Giovanni Grasso;Christian Schallhart;Konrad Höffner;Axel-Cyrille Ngonga Ngomo;Tim Furche;Christina Unger;Jens Lehmann;David Liu;Daniel Gerber;Sören Auer,12,,0
"Jens Lehmann, Daniel Gerber, Mohamed Morsey and Axel-Cyrille Ngonga Ngomo",DeFacto - Deep Fact Validation,,,,,http://data.semanticweb.org/conference/iswc/2012/proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/research-21,Proceedings of ISWC 2012,"One of the main tasks when creating and maintaining knowledge bases is to validate facts and provide sources for them in order to ensure correctness and traceability of the provided knowledge. So far, this task is often addressed by human curators in a three-step process: issuing appropriate keyword queries for the statement to check using standard search engines, retrieving potentially relevant documents and screening those documents for relevant content. The drawbacks of this process are manifold. Most importantly, it is very time-consuming as the experts have to carry out several search processes and must often read several documents. In this article, we present DeFacto (Deep Fact Validation) - an algorithm for validating facts by finding trustworthy sources for it on the Web. DeFacto aims to provide an effective way of validating facts by supplying the user with relevant excerpts of webpages as well as useful additional information including a score for the confidence DeFacto has in the correctness of the input fact.",,,0,,0,Jens Lehmann;Mohamed Morsey;Axel-Cyrille Ngonga Ngomo;Daniel Gerber,4,,0
"Rahul Parundekar, Craig Knoblock and José Luis Ambite",Discovering Concept Coverings in Ontologies of Linked Data Sources,,,,,http://data.semanticweb.org/conference/iswc/2012/proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/research-28,Proceedings of ISWC 2012,"Despite the increase in the number of linked instances in the Linked Data Cloud in recent times, the absence of links at the concept level has resulted in heterogenous schemas, challenging the interoperability goal of the Semantic Web. In this paper, we address this problem by finding alignments between concepts from multiple Linked Data sources. Instead of only considering the existing concepts present in each ontology, we hypothesize new composite concepts defined as disjunctions of conjunctions of (RDF) types and value restrictions, which we call restriction classes, and generate alignments between these composite concepts. This extended concept language enables us to find more complete definitions and to even align sources that have rudimentary ontologies, such as those that are simple renderings of relational databases. Our concept alignment approach is based on analyzing the extensions of these concepts and their linked instances. Having explored the alignment of conjunctive concepts in our previous work, in this paper, we focus on concept coverings (disjunctions of restriction classes). We present an evaluation of this new algorithm to Geospatial, Biological Classification, and Genetics domains. The resulting alignments are useful for refining existing ontologies and determining the alignments between concepts in the ontologies, thus increasing the interoperability in the Linked Open Data Cloud.",,,0,,0,Rahul Parundekar;José Luis Ambite;Craig Knoblock,3,,0
Rehab Albeladi,Distributed Reasoning on Semantic Data Streams,,,,,http://data.semanticweb.org/conference/iswc/2012/proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/doctor-consortium-08,Proceedings of ISWC 2012,"Data streams are being continually generated in diverse application domains such as traffic monitoring, smart buildings, and so on. Stream Reasoning is the area that aims to combine reasoning techniques with data streams. In this paper, we present our approach to enable rule-based reasoning on semantic data streams using data flow networks in a distributed manner.",,,0,,0,Rehab Albeladi,1,,0
"Kristian Slabbekoorn, Laura Hollink and Geert-Jan Houben",Domain-aware Ontology Matching,,,,,http://data.semanticweb.org/conference/iswc/2012/proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/research-30,Proceedings of ISWC 2012,"The inherent heterogeneity of datasets on the Semantic Web has created a need to interlink them, and several tools have emerged that automate this task. In this paper we are interested in what happens if we enrich these matching tools with knowledge of the domain of the ontologies. We explore how to express the notion of a domain in terms usable for an ontology matching tool, and we examine various methods to decide what constitutes the domain of a given dataset. We show how we can use this in a matching tool, and study the effect of domain knowledge on the quality of the alignment. We perform evaluations for two scenarios: Last.fm artists and UMLS medical terms. To quantify the added value of domain knowledge, we compare our domain-aware matching approach to a standard approach based on a manually created reference alignment. The results indicate that the proposed domain-aware approach indeed outperforms the standard approach, with a large effect on ambiguous concepts but a much smaller effect on unambiguous concepts.",,,0,,0,Laura Hollink;Kristian Slabbekoorn;Geert-Jan Houben,3,,0
Jeanne Holm,Driving Innovation with Open Data and Interoperability,,,,,http://data.semanticweb.org/conference/iswc/2012/proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/keynote-2,Proceedings of ISWC 2012,"Data.gov, a flagship open government project from the US government, opens and shares data to improve government efficiency and drive innovation. Sharing such data allows us to make rich comparisons that could never be made before and helps us to better understand the data and support decision making. The adoption of open linked data, vocabularies and ontologies, the work of the W3C, and semantic technologies is helping to drive Data.gov and US data forward. This session will help us to better understand the changing global landscape of data sharing and the role the semantic web is playing in it. This session highlights specific data sharing examples of solving mission problems from NASA, the White House, and many other governments agencies and citizen innovators.",,,0,,0,Jeanne Holm,1,,0
"Sara Magliacane, Alessandro Bozzon and Emanuele Della Valle",Efficient Execution of Top-K SPARQL Queries,,,,,http://data.semanticweb.org/conference/iswc/2012/proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/research-10,Proceedings of ISWC 2012,"Top-k queries, i.e. queries returning the top k results ordered by a user-defined scoring function, are an important category of queries. Order is an important property of data that can be exploited to speed up query processing. State-of-the-art SPARQL engines underuse order, and top-k queries are mostly managed with a materialize-then-sort processing scheme that computes all the matching solutions (e.g. thousands) even if only a limited number k (e.g. ten) are requested. The SPARQL-RANK algebra is an extended SPARQL algebra that treats order as a first class citizen, enabling efficient split-and-interleave processing schemes that can be adopted to improve the performance of top-k SPARQL queries. In this paper we propose an incremental execution model for SPARQL-RANK queries, we compare the performance of alternative physical operators, and we propose a rank-aware join algorithm optimized for native RDF stores. Experiments conducted with an open source implementation of a SPARQL-RANK query engine based on ARQ show that the evaluation of top-k queries can be sped up by orders of magnitude.",,,0,,0,Alessandro Bozzon;Sara Magliacane;Emanuele Della Valle,3,,0
"Stephan Grimm, Michael Watzke, Thomas Hubauer and Falco Cescolini",Embedded EL+ Reasoning on Programmable Logic Controllers,,,,,http://data.semanticweb.org/conference/iswc/2012/proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/inuse-09,Proceedings of ISWC 2012,"Many industrial use cases, such as machine diagnostics, can benefit from embedded reasoning, the task of running knowledge-based reasoning techniques on embedded controllers as widely used in industrial automation. However, due to the memory and CPU restrictions of embedded devices like programmable logic controllers (PLCs), state-of-the-art reasoning tools and methods cannot be easily migrated to industrial automation environments. In this paper, we describe an approach to porting lightweight OWL 2 EL reasoning to a PLC platform to run in an industrial automation environment. We report on initial runtime experiments carried out on a prototypical implementation of a PLC-based EL+ -reasoner in the context of a use case about turbine diagnostics.",,,0,,0,Michael Watzke;Falco Cescolini;Stephan Grimm;Thomas Hubauer,4,,0
